idProtein	IdUniprot	EntryName	ProteinNames	Organism	OrganismID	Length	HasStructure	RepType	SubGroup
69	DARPIN_E3_5	NULL	NULL	NULL	NULL	165	TRUE	Ank	DARPIN
70	DARPIN_OFF7	NULL	NULL	NULL	NULL	168	TRUE	Ank	DARPIN
71	DARPIN_E3_19	NULL	NULL	NULL	NULL	165	TRUE	Ank	DARPIN
72	DARPIN_AR_3A	NULL	NULL	NULL	NULL	168	TRUE	Ank	DARPIN
73	DARPIN_Clone_1108_19	NULL	NULL	NULL	NULL	168	TRUE	Ank	DARPIN
74	DARPIN_H10_2_G3	NULL	NULL	NULL	NULL	135	TRUE	Ank	DARPIN
75	DARPIN_AR_F8	NULL	NULL	NULL	NULL	168	TRUE	Ank	DARPIN
76	DARPIN_NI3C	NULL	NULL	NULL	NULL	165	TRUE	Ank	DARPIN
77	DARPIN_1D5	NULL	NULL	NULL	NULL	135	TRUE	Ank	DARPIN
78	DARPIN_3H10	NULL	NULL	NULL	NULL	166	TRUE	Ank	DARPIN
79	DARPIN_NI3C_Mut5	NULL	NULL	NULL	NULL	156	TRUE	Ank	DARPIN
80	DARPIN_NI3C_Mut6	NULL	NULL	NULL	NULL	156	TRUE	Ank	DARPIN
81	DARPIN_NI1C_Mut4	NULL	NULL	NULL	NULL	90	TRUE	Ank	DARPIN
82	DARPIN_3CA1A2N-OH	NULL	NULL	NULL	NULL	109	TRUE	Ank	DARPIN
83	DARPIN_3CA1A2N	NULL	NULL	NULL	NULL	91	TRUE	Ank	DARPIN
84	DARPIN_3ANK	NULL	NULL	NULL	NULL	92	TRUE	Ank	DARPIN
85	DARPIN_4ANK	NULL	NULL	NULL	NULL	92	TRUE	Ank	DARPIN
86	DARPIN_20	NULL	NULL	NULL	NULL	125	TRUE	Ank	DARPIN
135	Q04206	TF65_HUMAN	Transcription factor p65(Nuclear factor NF-kappa-B p65 subunit)(Nuclear factor of kappa light polypeptide gene enhancer in B-cells 3)(Nuclear factor NF-kappa-B p65 subunit)(Nuclear factor of kappa light polypeptide gene enhancer in B-cells 3)	Homo sapiens (Human)	9606	551	TRUE	Ank	Partner
136	P19838	NFKB1_HUMAN	Nuclear factor NF-kappa-B p105 subunit(DNA-binding factor KBF1)(EBP-1)(Nuclear factor of kappa light polypeptide gene enhancer in B-cells 1)(DNA-binding factor KBF1)(EBP-1)(Nuclear factor of kappa light polypeptide gene enhancer in B-cells 1)	Homo sapiens (Human)	9606	968	TRUE	Ank	Ank
137	P25963	IKBA_HUMAN	NF-kappa-B inhibitor alpha(I-kappa-B-alpha)(Major histocompatibility complex enhancer-binding protein MAD3)(I-kappa-B-alpha)(Major histocompatibility complex enhancer-binding protein MAD3)	Homo sapiens (Human)	9606	317	TRUE	Ank	Ank
138	Q04207	TF65_MOUSE	Transcription factor p65(Nuclear factor NF-kappa-B p65 subunit)(Nuclear factor of kappa light polypeptide gene enhancer in B-cells 3)(Nuclear factor NF-kappa-B p65 subunit)(Nuclear factor of kappa light polypeptide gene enhancer in B-cells 3)	Mus musculus (Mouse)	10090	549	TRUE	Ank	Partner
139	P25799	NFKB1_MOUSE	Nuclear factor NF-kappa-B p105 subunit(DNA-binding factor KBF1)(EBP-1)(NF-kappa-B1 p84/NF-kappa-B1 p98)(Nuclear factor of kappa light polypeptide gene enhancer in B-cells 1)(DNA-binding factor KBF1)(EBP-1)(NF-kappa-B1 p84/NF-kappa-B1 p98)(Nuclear factor of kappa light polypeptide gene enhancer in B-cells 1)	Mus musculus (Mouse)	10090	971	TRUE	Ank	Ank
140	Q60773	CDN2D_MOUSE	p19-INK4d	Mus musculus (Mouse)	10090	166	TRUE	Ank	Ank
141	P55273	CDN2D_HUMAN	p19-INK4d	Homo sapiens (Human)	9606	166	TRUE	Ank	Ank
142	Q00534	CDK6_HUMAN	Cyclin-dependent kinase 6(Cell division protein kinase 6)(Serine/threonine-protein kinase PLSTIRE)(Cell division protein kinase 6)(Serine/threonine-protein kinase PLSTIRE)	Homo sapiens (Human)	9606	326	TRUE	Ank	Partner
143	P42773	CDN2C_HUMAN	Cyclin-dependent kinase 4 inhibitor C(Cyclin-dependent kinase 6 inhibitor)(p18-INK4c)(p18-INK6)(Cyclin-dependent kinase 6 inhibitor)(p18-INK4c)(p18-INK6)	Homo sapiens (Human)	9606	168	TRUE	Ank	Ank
144	P55271	CDN2B_MOUSE	Cyclin-dependent kinase 4 inhibitor B(p14-INK4b)(p15-INK4b)(p14-INK4b)(p15-INK4b)	Mus musculus (Mouse)	10090	130	TRUE	Ank	Ank
145	O40946	O40946_HHV8		Human herpesvirus 8 (HHV-8)(Kaposis sarcoma-associated herpesvirus)	37296	257	TRUE	Ank	Partner
146	P50086	PSD10_YEAST	Proteasome non-ATPase subunit 6	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Bakers yeast)	559292	228	TRUE	Ank	Ank
147	P20749	BCL3_HUMAN	Proto-oncogene BCL3	Homo sapiens (Human)	9606	454	TRUE	Ank	Ank
148	Q60778	IKBB_MOUSE	I-kappa-B-beta	Mus musculus (Mouse)	10090	359	TRUE	Ank	Ank
149	P16157	ANK1_HUMAN	Ankyrin-1(Ankyrin-R)(Erythrocyte ankyrin)(Ankyrin-R)(Erythrocyte ankyrin)	Homo sapiens (Human)	9606	1881	TRUE	Ank	Ank
150	P07207	NOTCH_DROME	Neurogenic locus Notch protein	Drosophila melanogaster (Fruit fly)	7227	2703	TRUE	Ank	Ank
151	O75832	PSD10_HUMAN	26S proteasome non-ATPase regulatory subunit 10(26S proteasome regulatory subunit p28)(Gankyrin)(p28(GANK))(26S proteasome regulatory subunit p28)(Gankyrin)(p28(GANK))	Homo sapiens (Human)	9606	226	TRUE	Ank	Ank
152	P09959	SWI6_YEAST	Regulatory protein SWI6(Cell-cycle box factor subunit SWI6)(MBF subunit P90)(Trans-acting activator of HO endonuclease gene)(Cell-cycle box factor subunit SWI6)(MBF subunit P90)(Trans-acting activator of HO endonuclease gene)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Bakers yeast)	559292	803	TRUE	Ank	Ank
153	Q05823	RN5A_HUMAN	2-5A-dependent ribonuclease(Ribonuclease 4)(Ribonuclease L)(Ribonuclease 4)(Ribonuclease L)	Homo sapiens (Human)	9606	741	TRUE	Ank	Ank
